resume_id,similarity_score
ID_335,0.6261
ID_336,0.6767
ID_337,0.5524
ID_338,0.7147
ID_339,0.7357
ID_34,0.5057
ID_340,0.6393
ID_341,0.6073
ID_342,0.6778
ID_343,0.7823
ID_344,0.7047
ID_345,0.5996
ID_346,0.6462
ID_347,0.5732
ID_348,0.3795
ID_349,0.5831
ID_35,0.7486
ID_350,0.7362
ID_351,0.5326
ID_352,0.4098
ID_353,0.6841
ID_354,0.8011
ID_355,0.5313
ID_356,0.836
ID_357,0.7861
ID_358,0.761
ID_359,0.5768
ID_36,0.5801
ID_360,0.4304
ID_361,0.7296
ID_362,0.6728
ID_363,0.6102
ID_364,0.7368
ID_365,0.5907
ID_366,0.7116
ID_367,0.4677
ID_368,0.6237
ID_369,0.7784
ID_37,0.6773
ID_370,0.7449
ID_371,0.6758
ID_372,0.7179
ID_374,0.6519
ID_375,0.7983
ID_376,0.6196
ID_377,0.7117
ID_378,0.6798
ID_379,0.7417
ID_38,0.5226
ID_380,0.4104
ID_381,0.6561
ID_382,0.5192
ID_383,0.4655
ID_384,0.7095
ID_385,0.5984
ID_386,0.6819
ID_387,0.5959
ID_388,0.714
ID_389,0.7085
ID_39,0.5982
ID_390,0.6213
ID_391,0.5489
ID_392,0.6733
ID_393,0.5955
ID_394,0.5968
ID_395,0.62
ID_396,0.6852
ID_397,0.591
ID_398,0.7377
ID_399,0.5828
ID_4,0.6715
ID_40,0.6677
ID_400,0.7052
ID_401,0.5004
ID_402,0.7479
ID_403,0.7427
ID_404,0.7302
ID_405,0.5298
ID_406,0.7838
ID_407,0.7462
ID_408,0.6228
ID_409,0.6806
ID_41,0.6327
ID_410,0.6633
ID_411,0.5055
ID_412,0.5105
ID_413,0.6986
ID_414,0.6923
ID_415,0.5619
ID_416,0.6356
ID_417,0.5516
ID_418,0.6785
ID_419,0.5538
ID_42,0.732
ID_420,0.7165
ID_421,0.4826
ID_422,0.6864
ID_423,0.6972
ID_424,0.6372
ID_425,0.6686
ID_426,0.6846
ID_427,0.7742
ID_428,0.6298
ID_429,0.5536
ID_43,0.8048
ID_430,0.7288
ID_431,0.6441
ID_432,0.5209
ID_433,0.5197
ID_434,0.6796
ID_435,0.6848
ID_436,0.7278
ID_437,0.6908
ID_438,0.6041
ID_439,0.7319
ID_44,0.5407
ID_440,0.5363
ID_441,0.6476
ID_442,0.6562
ID_443,0.7511
ID_444,0.6825
ID_445,0.5784
ID_446,0.8038
ID_447,0.5905
ID_448,0.6452
ID_449,0.6423
ID_45,0.4375
ID_450,0.6115
ID_452,0.5915
ID_453,0.5266
ID_454,0.6866
ID_455,0.5959
ID_456,0.5515
ID_457,0.6759
ID_458,0.7453
ID_459,0.8317
ID_46,0.5822
ID_460,0.542
ID_461,0.675
ID_462,0.7793
ID_463,0.3784
ID_464,0.5897
ID_465,0.6152
ID_466,0.7032
ID_467,0.6589
ID_468,0.6348
ID_469,0.5096
ID_47,0.6943
ID_470,0.7045
ID_471,0.6617
ID_472,0.6197
ID_473,0.7397
ID_475,0.69
ID_476,0.5309
ID_477,0.6124
ID_478,0.5945
ID_479,0.772
ID_48,0.5211
ID_480,0.6471
ID_481,0.6018
ID_482,0.739
ID_483,0.7151
ID_484,0.6672
ID_485,0.5753
ID_486,0.6506
ID_487,0.5379
ID_488,0.6438
ID_489,0.7117
ID_49,0.7307
ID_490,0.5421
ID_491,0.6364
ID_492,0.6176
ID_493,0.6328
ID_494,0.6298
ID_495,0.6674
ID_496,0.8032
ID_497,0.7035
ID_498,0.7252
ID_499,0.5423
ID_5,0.6891
ID_50,0.6499
ID_500,0.7674
ID_501,0.5469
ID_502,0.7845
ID_503,0.5882
ID_504,0.3998
ID_505,0.7413
ID_506,0.7091
ID_507,0.7378
ID_508,0.7592
ID_509,0.7182
ID_51,0.6295
ID_510,0.5156
ID_511,0.6054
ID_512,0.6223
ID_513,0.7396
ID_514,0.6419
ID_515,0.675
ID_516,0.6817
ID_517,0.61
ID_518,0.6834
ID_519,0.638
ID_52,0.6858
ID_520,0.5755
ID_521,0.6922
ID_522,0.6511
ID_523,0.4237
ID_524,0.562
ID_525,0.6829
ID_526,0.7468
ID_527,0.7217
ID_528,0.6928
ID_529,0.7353
ID_53,0.6213
ID_530,0.8229
ID_531,0.7186
ID_532,0.7326
ID_533,0.2956
ID_534,0.5202
ID_535,0.6689
ID_536,0.6829
ID_537,0.5182
ID_538,0.6424
ID_539,0.7718
ID_54,0.6602
ID_540,0.5228
ID_541,0.5038
ID_542,0.6769
ID_543,0.6835
ID_544,0.6101
ID_545,0.6173
ID_546,0.7548
ID_547,0.7507
ID_548,0.6218
ID_549,0.7086
ID_55,0.7734
ID_550,0.6893
ID_551,0.7029
ID_552,0.6377
ID_553,0.7846
ID_554,0.4212
ID_555,0.5572
ID_556,0.5956
ID_557,0.6788
ID_558,0.6927
ID_559,0.5816
ID_56,0.5802
ID_560,0.7322
ID_561,0.6752
ID_562,0.6464
ID_564,0.6632
ID_565,0.5482
ID_566,0.6444
ID_567,0.6074
ID_568,0.7655
ID_569,0.6862
ID_57,0.616
ID_570,0.5911
ID_571,0.6976
ID_572,0.7728
ID_574,0.7267
ID_575,0.6354
ID_576,0.6719
ID_577,0.6602
ID_578,0.6561
ID_579,0.7662
ID_58,0.6554
ID_580,0.6111
ID_581,0.731
ID_582,0.664
ID_583,0.6891
ID_584,0.7025
ID_585,0.5862
ID_586,0.5064
ID_587,0.662
ID_588,0.5718
ID_589,0.6722
ID_59,0.8037
ID_590,0.6436
ID_591,0.6892
ID_592,0.5895
ID_593,0.5138
ID_594,0.5862
ID_595,0.5273
ID_596,0.6141
ID_597,0.6193
ID_598,0.6498
ID_599,0.7544
ID_6,0.7115
ID_60,0.7195
ID_600,0.8284
ID_601,0.7551
ID_602,0.6685
ID_604,0.6129
ID_605,0.5411
ID_606,0.7509
ID_607,0.7882
ID_608,0.7809
ID_609,0.6179
ID_61,0.6561
ID_610,0.6161
ID_611,0.7215
ID_612,0.5873
ID_613,0.6721
ID_614,0.6808
ID_615,0.5148
ID_616,0.6873
ID_617,0.6174
ID_618,0.7406
ID_619,0.6039
ID_62,0.5871
ID_620,0.6267
ID_621,0.6052
ID_622,0.6393
ID_623,0.6094
ID_624,0.6126
ID_625,0.7157
ID_626,0.7186
ID_627,0.6587
ID_628,0.726
ID_629,0.7244
ID_63,0.4773
ID_631,0.6808
ID_632,0.7129
ID_633,0.5299
ID_634,0.669
ID_635,0.6559
ID_636,0.7343
ID_637,0.5372
ID_638,0.6042
ID_64,0.8193
ID_640,0.7132
ID_641,0.6054
ID_642,0.4609
ID_643,0.6948
ID_644,0.6476
ID_645,0.6825
ID_646,0.6986
ID_648,0.7176
ID_649,0.6086
ID_65,0.6561
ID_650,0.7777
ID_651,0.7831
ID_652,0.7446
ID_653,0.6446
ID_654,0.7144
ID_655,0.6732
ID_656,0.7463
ID_657,0.5921
ID_658,0.7525
ID_659,0.7654
ID_66,0.4879
ID_660,0.6199
ID_661,0.6663
ID_662,0.7446
ID_663,0.7458
ID_664,0.65
ID_665,0.5309
ID_666,0.6335
ID_667,0.6566
ID_668,0.8354
ID_669,0.6935
ID_67,0.6859
ID_670,0.6201
ID_671,0.6488
ID_672,0.3011
ID_673,0.722
ID_674,0.6234
ID_675,0.6947
ID_676,0.7323
ID_678,0.687
ID_679,0.6754
ID_68,0.7559
ID_680,0.4335
ID_681,0.6251
ID_682,0.7535
ID_683,0.6334
ID_684,0.5364
ID_685,0.7301
ID_686,0.6911
ID_687,0.6241
ID_688,0.8253
ID_689,0.6267
ID_69,0.5672
ID_690,0.7444
ID_691,0.7912
ID_692,0.7298
ID_693,0.5372
ID_694,0.8127
ID_695,0.7253
ID_696,0.6877
ID_697,0.6488
ID_7,0.7114
ID_70,0.6893
ID_700,0.7577
ID_701,0.7457
ID_702,0.5716
ID_703,0.7475
ID_704,0.6912
ID_705,0.7079
ID_706,0.5914
ID_707,0.5749
ID_708,0.6652
ID_709,0.5545
ID_71,0.6544
ID_710,0.7165
ID_711,0.5883
ID_712,0.786
ID_714,0.6404
ID_715,0.664
ID_716,0.6261
ID_717,0.4274
ID_718,0.5106
ID_719,0.5816
ID_72,0.603
ID_720,0.6939
ID_721,0.3439
ID_722,0.6683
ID_723,0.687
ID_724,0.5972
ID_725,0.7502
ID_726,0.6461
ID_727,0.619
ID_728,0.707
ID_729,0.648
ID_73,0.4867
ID_730,0.6676
ID_731,0.6506
ID_732,0.7146
ID_733,0.5945
ID_734,0.5679
ID_735,0.7059
ID_736,0.6101
ID_737,0.6332
ID_738,0.6335
ID_739,0.6305
ID_74,0.7552
ID_740,0.6781
ID_741,0.7478
ID_742,0.7495
ID_743,0.7214
ID_744,0.6661
ID_745,0.8304
ID_746,0.5571
ID_747,0.7056
ID_748,0.7006
ID_749,0.6844
ID_75,0.7086
ID_750,0.6219
ID_751,0.8477
ID_752,0.7281
ID_753,0.6147
ID_754,0.5964
ID_755,0.5875
ID_756,0.621
ID_758,0.6665
ID_759,0.7006
ID_76,0.7038
ID_760,0.7193
ID_761,0.6967
ID_762,0.2977
ID_763,0.7241
ID_764,0.7104
ID_765,0.6756
ID_766,0.6283
ID_767,0.7063
ID_768,0.5605
ID_769,0.7282
ID_77,0.5985
ID_770,0.6426
ID_771,0.5211
ID_772,0.7604
ID_773,0.6389
ID_774,0.6247
ID_775,0.6462
ID_776,0.6947
ID_777,0.6102
ID_779,0.6943
ID_78,0.6759
ID_780,0.6229
ID_781,0.6266
ID_782,0.7652
ID_783,0.6651
ID_784,0.7713
ID_785,0.7206
ID_786,0.6683
ID_788,0.7075
ID_789,0.551
ID_79,0.6666
ID_790,0.6637
ID_791,0.5855
ID_792,0.6374
ID_793,0.7359
ID_794,0.7205
ID_795,0.6426
ID_796,0.7626
ID_797,0.6775
ID_798,0.727
ID_799,0.7611
ID_8,0.7153
ID_80,0.5722
ID_800,0.6177
ID_801,0.6825
ID_802,0.6691
ID_803,0.6045
ID_804,0.6325
ID_806,0.6181
ID_807,0.5939
ID_808,0.3857
ID_809,0.6402
ID_81,0.678
ID_810,0.5219
ID_811,0.587
ID_812,0.5326
ID_813,0.709
ID_814,0.6389
ID_815,0.7374
ID_816,0.7325
ID_817,0.5707
ID_818,0.7072
ID_819,0.6331
ID_82,0.5063
ID_820,0.7411
ID_821,0.7793
ID_822,0.7003
ID_823,0.4481
ID_824,0.5013
ID_825,0.4974
ID_826,0.5849
ID_827,0.6276
ID_828,0.7505
ID_829,0.5734
ID_83,0.6573
ID_830,0.6708
ID_831,0.7849
ID_832,0.5647
ID_833,0.7902
ID_834,0.7382
ID_835,0.6037
ID_836,0.6691
ID_837,0.5167
ID_838,0.7868
ID_839,0.6662
ID_84,0.6182
ID_841,0.6339
ID_842,0.4897
ID_843,0.68
ID_844,0.652
ID_845,0.6902
ID_846,0.4857
ID_847,0.6969
ID_848,0.6503
ID_849,0.7437
ID_850,0.6723
ID_851,0.6685
ID_852,0.6517
ID_853,0.4907
ID_854,0.6502
ID_855,0.5079
ID_856,0.5285
ID_857,0.6556
ID_858,0.6717
ID_859,0.633
ID_86,0.6693
ID_860,0.4622
ID_861,0.5497
ID_862,0.7827
ID_863,0.7485
ID_864,0.6838
ID_865,0.7026
ID_867,0.5871
ID_87,0.6521
ID_870,0.626
ID_872,0.5805
ID_873,0.6935
ID_874,0.7041
ID_875,0.7555
ID_877,0.5483
ID_878,0.5295
ID_879,0.6414
ID_88,0.7322
ID_880,0.6087
ID_881,0.6317
ID_882,0.6933
ID_883,0.6938
ID_884,0.3034
ID_885,0.443
ID_886,0.458
ID_887,0.7569
ID_888,0.597
ID_889,0.7067
ID_89,0.5735
ID_890,0.615
ID_891,0.7474
ID_892,0.6187
ID_893,0.7369
ID_894,0.724
ID_895,0.6468
ID_896,0.7325
ID_897,0.7213
ID_898,0.7671
ID_899,0.6922
ID_9,0.6203
ID_90,0.6186
ID_900,0.6647
ID_901,0.5755
ID_902,0.5421
ID_903,0.7396
ID_904,0.685
ID_905,0.635
ID_906,0.5932
ID_907,0.6553
ID_908,0.5008
ID_909,0.6237
ID_911,0.6042
ID_912,0.6246
ID_913,0.6057
ID_914,0.7516
ID_915,0.5881
ID_916,0.7427
ID_917,0.6619
ID_918,0.5716
ID_919,0.4445
ID_92,0.5468
ID_920,0.7116
ID_922,0.3672
ID_923,0.5037
ID_924,0.5736
ID_925,0.6069
ID_926,0.7356
ID_927,0.7055
ID_928,0.6942
ID_929,0.69
ID_93,0.6643
ID_930,0.6847
ID_931,0.5702
ID_932,0.7364
ID_933,0.6213
ID_934,0.7281
ID_935,0.7154
ID_936,0.5948
ID_937,0.7405
ID_938,0.7188
ID_939,0.5121
ID_94,0.6331
ID_940,0.7837
ID_941,0.6695
ID_942,0.4815
ID_943,0.7522
ID_945,0.6689
ID_946,0.5513
ID_947,0.6868
ID_948,0.5818
ID_949,0.6516
ID_95,0.5844
ID_950,0.7321
ID_951,0.6755
ID_952,0.7516
ID_953,0.6461
ID_954,0.6034
ID_955,0.7806
ID_956,0.6407
ID_957,0.7149
ID_958,0.8164
ID_959,0.697
ID_96,0.5199
ID_960,0.6416
ID_961,0.7382
ID_962,0.7694
ID_963,0.8443
ID_964,0.6141
ID_965,0.6504
ID_966,0.4287
ID_967,0.5771
ID_968,0.7686
ID_969,0.6994
ID_97,0.7988
ID_970,0.7688
ID_971,0.617
ID_972,0.4773
ID_973,0.4705
ID_975,0.6596
ID_976,0.7788
ID_977,0.5962
ID_978,0.6995
ID_979,0.6381
ID_98,0.6531
ID_980,0.7798
ID_981,0.7514
ID_982,0.8079
ID_983,0.6212
ID_984,0.2805
ID_985,0.7339
ID_986,0.4055
ID_987,0.3668
ID_988,0.5367
ID_989,0.7424
ID_99,0.7534
ID_990,0.7863
ID_991,0.6204
ID_992,0.7685
ID_993,0.6381
ID_994,0.7246
ID_995,0.7182
ID_996,0.6471
ID_997,0.5156
ID_998,0.8371
ID_999,0.6968
